No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,BUILDING,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Company ,Executed Quantity,Total Quantity,Required Quantity,Sectoer,Date (Daily),Contractor,Element (all),Executed Quantity (m3),Target Daily Rate
28,Tuesday,2025-12-02,36241,36,Mecca Contracting,DPL,2025-12-01,,,51.22,Fill,G0-1,BH-44,,LAYER-1,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,Al Nada,87019.22765,87018.75,17.4,North Sector,2025-12-04,Mecca Contracting,BH-44,3955.38,797.231
29,Tuesday,2025-12-02,36240,36,Orascom,DPL,2025-12-02,,,46.37,Fill,G0-1,BH-30,,LAYER-2,8,,,APPROVED AS NOTED,DONE,2,EIDG,0,EL-Batal,67140.67775,67141,13.4,South Sector,2025-12-04,Al Ittihadiya,BH-1,3895.14,1227.242
30,Tuesday,2025-12-02,36220,36,Al Ikhlas Mohamed Abdelwahab,DPL,2025-11-30,,,45.85,Fill,G0-1,BH-12,,LAYER-2,4,,,APPROVED AS NOTED,DONE,2,EIDG,2,Gamal Shaaban,126285.313,126285,25.3,South Sector,2025-12-04,EL Gharably,BH-14,3085.50,848.609
31,Tuesday,2025-12-02,36177,36,Mecca Contracting,SOIL,2025-11-29,A-2-4,19.8%,,Bottom of excavation,G0-1,BH-44,,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,3,EL Gharably,110604.1575,115974,22.1,South Sector,2025-12-04,EL Nessr El Araby,BH-17-1,2349.19,414.805
32,Tuesday,2025-12-02,36174,36,Al Ikhlas Mohamed Abdelwahab,SOIL,2025-11-26,A-2-4,16.8%,,Stockpile,G0-1,,,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,6,Port Said West,261411.4222,261411.9192,52.3,South Sector,2025-12-04,Karim Salam,BH-4,1299.48,1279.078
33,Tuesday,2025-12-02,36173,36,Benaa,SOIL,2025-11-26,A-2-4,16.4%,,Stockpile,G0-1,,,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,6,EL Nessr El Araby,189028.0913,189027.5158,37.8,South Sector,2025-12-04,Port Said West,BH-12,1619.03,902.862
34,Tuesday,2025-12-02,36183,36,Al Nada,SOIL,2025-11-25,A-4,70.3%,,Bottom of excavation,G0-1,BH-8-1,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,7,Al Amal,347518.1513,368634.7869,69.5,North Sector,2025-12-05,Orascom,BH-29,945.67,1294.388
35,Tuesday,2025-12-02,36267,36,Benyan,DPL,2025-12-02,,,46.355,Fill,G0-1,BH-14,,LAYER-3,7,,,APPROVED AS NOTED,DONE,2,EIDG,0,Al Tawakkol,116911.2195,116911.41,23.4,South Sector,2025-12-05,Al Amal,BH-18,4699.82,618.323
36,Wednesday,2025-12-03,36268,36,Mecca Contracting,DPL,2025-12-02,,,46.019,Fill,G0-1,BH-44,,LAYER-2,6,,,APPROVED AS NOTED,DONE,2,EIDG,1,Al Forsan,57960.929,64337.132,11.6,South Sector,2025-12-05,Al Ittihadiya,BH-1,4868.92,1227.242
37,Wednesday,2025-12-03,36270,36,Orascom,DPL,2025-12-02,,,49.131,Fill,G0-1,BH-30,,LAYER-3,5,,,APPROVED AS NOTED,DONE,2,EIDG,1,Al Arabia Contracting,94704.4025,94704.3195,18.9,South Sector,2025-12-05,Orascom,BH-3,1326.89,1201.038
38,Wednesday,2025-12-03,36269,36,Orascom,DPL,2025-12-02,,,51.42,Fill,G0-1,BH-30,,LAYER-3,6,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-06,Mecca Contracting,BH-44,630.11,797.231
39,Wednesday,2025-12-03,36260,36,Orascom,DPL,2025-12-02,,,48.94,Fill,G0-1,BH-29,,LAYER-1,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-06,Orascom,BH-30,3687.51,1248.282
40,Wednesday,2025-12-03,36273,36,Al Nada,DPL,2025-12-02,,,49.37,Fill,G0-1,BH-8-1,,LAYER-1,8,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-06,Orascom,BH-29,2189.04,1294.388
41,Wednesday,2025-12-03,36272,36,Karim Salam,DPL,2025-12-03,,,46.17,Fill,G0-1,BH-4,,LAYER-4,5,,,APPROVED AS NOTED,DONE,2,EIDG,0,,,,,South Sector,2025-12-06,EL-Nada EL-Saadany,BH-8,2376.76,451.199
42,Wednesday,2025-12-03,36271,36,Al Ikhlas Mohamed Abdelwahab,DPL,2025-12-02,,,42.76,Fill,G0-1,BH-12,,LAYER-3,5,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-06,Karim Salam,BH-4,2165.79,1279.078
43,Tuesday,2025-12-02,36153,36,Al Nada,SOIL,2025-11-25,A-4,68.0%,,Bottom of excavation,G0-1,BH-8-1,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,7,,,,,North Sector,2025-12-07,Mecca Contracting,BH-44,4492.76,797.231
44,Tuesday,2025-12-02,36155,36,Orascom,SOIL,2025-11-25,A-4,61.1%,,Bottom of excavation,G0-1,BH-30,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,7,,,,,North Sector,2025-12-07,Orascom,BH-29,3294.48,1294.388
45,Tuesday,2025-12-02,36154,36,Orascom,SOIL,2025-11-25,A-4,56.1%,,Bottom of excavation,G0-1,BH-30,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,7,,,,,South Sector,2025-12-07,Al Amal,BH-18,4699.82,618.323
46,Tuesday,2025-12-02,36171,36,Orascom,SOIL,2025-11-28,A-2-4,33.8%,,Bottom of excavation,G0-1,BH-30,,,1,Sieve + Proctoer ,,APPROVED AS NOTED,DONE,3,EIDG,4,,,,,South Sector,2025-12-07,EL Gharably,BH-14,3518.64,848.609
47,Tuesday,2025-12-02,36172,36,Orascom,SOIL,2025-11-28,A-4,39.0%,,Bottom of excavation,G0-1,BH-30,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,4,,,,,South Sector,2025-12-07,EL Nessr El Araby,BH-17-1,1521.26,414.805
48,Friday,2025-12-05,36301,36,Benyan,DPL,2025-12-04,,,57.38,Fill,G0-1,BH-14,,LAYER-4,12,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-07,Port Said West,BH-12,6755.26,902.862
49,Friday,2025-12-05,36291,36,Al Nada,DPL,2025-12-04,,,42.99,Fill,G0-1,BH-8-1,,LAYER-2,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-08,Al Qahira,BH-32,1898.12,0.000
50,Friday,2025-12-05,36299,36,Mecca Contracting,DPL,2025-12-04,,,45.31,Bottom of excavation,G0-1,BH-44,,LAYER-0,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-08,Inshaa,BH-38,2454.43,1011.996
51,Monday,2025-12-08,36403,36,Mecca Contracting,DPL,2025-12-07,,,45.32,Fill,G0-1,BH-44,,LAYER-2,12,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-08,Mecca Contracting,BH-44,537.38,797.231
52,Monday,2025-12-08,36404,36,Orascom,DPL,2025-12-07,,,45.36,Fill,G0-1,BH-29,,LAYER-6,7,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-08,Orascom,BH-30,4427.40,1248.282
53,Monday,2025-12-08,36405,36,Orascom,DPL,2025-12-07,,,46.91,Fill,G0-1,BH-29,,LAYER-5,7,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-08,Al Magd Contracting,BH-15,139.57,474.467
54,Monday,2025-12-08,36406,36,Orascom,DPL,2025-12-07,,,45.23,Bottom of excavation,G0-1,BH-29,,LAYER-0,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-08,EL Nessr El Araby,BH-17-1,2083.34,414.805
55,Monday,2025-12-08,36407,36,Orascom,DPL,2025-12-07,,,52.42,Bottom of excavation,G0-1,BH-30,,LAYER-0,5,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-08,Karim Salam,BH-4,6595.90,1279.078
56,Monday,2025-12-08,36408,36,Al Masriya for Construction & Development,DPL,2025-12-07,,,44.69,Fill,G0-1,BH-17,,LAYER-2,6,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-08,Orascom,BH-3,4834.99,1201.038
57,Monday,2025-12-08,36409,36,Al Amal,DPL,2025-12-07,,,50.037,Fill,G0-1,BH-18,,LAYER-8,15,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-08,Port Said West,BH-12,2355.47,902.862
58,Monday,2025-12-08,36397,36,Al Qahira,DPL,2025-12-07,,,49.92,Bottom of excavation,G0-1,BH-32,,LAYER-0,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-09,Mecca Contracting,BH-44,537.38,797.231
59,Monday,2025-12-08,36398,36,Al Ikhlas Mohamed Abdelwahab,DPL,2025-12-07,,,44.024,Fill,G0-1,BH-12,,LAYER-2,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-09,Al Magd Contracting,BH-15,514.67,474.467
60,Saturday,2025-12-06,36310,36,Al Amal,PLATE LOAD,2025-12-02,,,,Fill,G0-1,BH-18,,47.5,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,4,,,,,South Sector,2025-12-09,EL Gharably,BH-14,3757.97,848.609
61,Saturday,2025-12-06,36311,36,Al Amal,PLATE LOAD,2025-12-02,,,,Fill,G0-1,BH-18,,47.5,1,,,APPROVED AS NOTED,DONE,3,BONYAN MISR,4,,,,,South Sector,2025-12-09,EL-Nada EL-Saadany,BH-8,4531.45,451.199
62,Saturday,2025-12-06,36326,36,Abnaa Khalifa,DPL,2025-12-05,,,48.04,Fill,G0-1,BH-3,,LAYER-1,6,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-09,Karim Salam,BH-4,3021.50,1279.078
63,Saturday,2025-12-06,36327,36,Orascom,DPL,2025-12-05,,,51.7,Fill,G0-1,BH-29,,LAYER-3,6,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-10,Al Anoud Al Arabia,BH-42,1669.16,0.000
64,Saturday,2025-12-06,36328,36,Al Amal,DPL,2025-12-05,,,48.277,Fill,G0-1,BH-18,,LAYER-7,12,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-10,Al Qahira,BH-32,4511.41,0.000
65,Saturday,2025-12-06,36329,36,Al Ittihadiya,DPL,2025-12-05,,,50.048,Fill,G0-1,BH-2,,LAYER-1,4,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-10,Inshaa,BH-38,6854.11,1011.996
66,Saturday,2025-12-06,36336,36,Al Emaratiya Company,SOIL,2025-12-03,A-4,62.0%,,Bottom of excavation,G0-1,BH-40,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,,,North Sector,2025-12-10,Mecca Contracting,BH-44,537.38,797.231
67,Saturday,2025-12-06,36335,36,Al Anoud Al Arabia,SOIL,2025-12-03,A-4,64.2%,,Bottom of excavation,G0-1,BH-42,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,,,North Sector,2025-12-10,Orascom,BH-30,3687.51,1248.282
68,Saturday,2025-12-06,36334,36,Al Anoud Al Arabia,SOIL,2025-12-03,A-4,57.6%,,Bottom of excavation,G0-1,BH-42,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,,,North Sector,2025-12-10,Orascom,BH-29,3173.00,1294.388
69,Saturday,2025-12-06,36333,36,Al Qahira,SOIL,2025-12-03,A-4,52.8%,,Bottom of excavation,G0-1,BH-32,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,,,South Sector,2025-12-10,Al Amal,BH-18,5764.79,618.323
70,Saturday,2025-12-06,36332,36,Al Qahira,SOIL,2025-12-03,A-4,37.6%,,Bottom of excavation,G0-1,BH-32,,,1,Sieve analysis,,APPROVED AS NOTED,DONE,2,EIDG,3,,,,,South Sector,2025-12-10,Al Ittihadiya,BH-1,3056.74,1227.242
71,Sunday,2025-12-07,36364,36,Orascom,DPL,2025-12-06,,,47.302,Fill,G0-1,BH-29,,LAYER-4,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-10,EL Nessr El Araby,BH-17-1,3604.60,414.805
72,Sunday,2025-12-07,36362,36,Orascom,DPL,2025-12-07,,,47.163,Fill,G0-1,BH-30,,LAYER-5,14,,,APPROVED AS NOTED,DONE,2,EIDG,0,,,,,South Sector,2025-12-10,Karim Salam,BH-4,3574.40,1279.078
73,Sunday,2025-12-07,36360,36,Karim Salam,DPL,2025-12-06,,,45.35,Fill,G0-1,BH-4,,LAYER-2,6,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-10,Orascom,BH-3,1959.61,1201.038
74,Sunday,2025-12-07,36361,36,Mecca Contracting,DPL,2025-12-06,,,32.11,Fill,G0-1,BH-44,,LAYER-4,3,,,REVISE,DONE,2,EIDG,1,,,,,South Sector,2025-12-10,Port Said West,BH-12,1953.02,902.862
75,Sunday,2025-12-07,36359,36,Al Nada,DPL,2025-12-06,,,53.53,Fill,G0-1,BH-8-1,,LAYER-4,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-11,Al Anoud Al Arabia,BH-42,4441.15,0.000
76,Sunday,2025-12-07,36358,36,Al Nada,DPL,2025-12-06,,,48.89,Fill,G0-1,BH-8-1,,LAYER-1,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-11,Al Salmy,BH-31-1,120.95,0.000
77,Sunday,2025-12-07,36357,36,Mecca Contracting,DPL,2025-12-06,,,46.88,Fill,G0-1,BH-44,,LAYER-1,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-11,Orascom,BH-30,4427.40,1248.282
78,Sunday,2025-12-07,36363,36,Orascom,DPL,2025-12-06,,,55.86,Fill,G0-1,BH-29,,LAYER-1,4,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-11,Al Ittihadiya,BH-1,4868.92,1227.242
79,Thursday,2025-12-04,36274,36,Karim Salam,DPL,2025-12-04,,,42.18,Fill,G0-1,BH-4,,LAYER-5,2,,,APPROVED AS NOTED,DONE,2,EIDG,0,,,,,South Sector,2025-12-11,Al Magd Contracting,BH-15,1133.65,474.467
80,Thursday,2025-12-04,36276,36,Orascom,DPL,2025-12-03,,,52.48,Fill,G0-1,BH-30,,LAYER-3,6,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-11,EL Gharably,BH-14,4408.93,848.609
81,Thursday,2025-12-04,36275,36,Al Amal,DPL,2025-12-03,,,45.81,Fill,G0-1,BH-18,,LAYER-6,7,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-11,EL-Nada EL-Saadany,BH-8,4531.45,451.199
82,Thursday,2025-12-04,36277,36,Orascom,DPL,2025-12-04,,,44.233,Fill,G0-1,BH-30,,LAYER-4,7,,,APPROVED AS NOTED,DONE,2,EIDG,0,,,,,South Sector,2025-12-11,Karim Salam,BH-4,3021.69,1279.078
83,Thursday,2025-12-04,36278,36,Orascom,DPL,2025-12-04,,,46.65,Fill,G0-1,BH-30,,LAYER-1,2,,,APPROVED AS NOTED,DONE,2,EIDG,0,,,,,South Sector,2025-12-11,Orascom,BH-3,4303.24,1201.038
84,Thursday,2025-12-04,36279,36,Orascom,DPL,2025-12-04,,,50.98,Fill,G0-1,BH-30,,LAYER-4,5,,,APPROVED AS NOTED,DONE,2,EIDG,0,,,,,North Sector,2025-12-12,Al Qahira,BH-32,4514.72,0.000
85,Thursday,2025-12-04,36280,36,Orascom,DPL,2025-12-03,,,46.76,Fill,G0-1,BH-29,,LAYER-2,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-12,Al Salmy,BH-31-1,1508.02,0.000
86,Monday,2025-12-08,36399,36,Al Ikhlas Mohamed Abdelwahab,DPL,2025-12-07,,,45.74,Fill,G0-1,BH-12,,LAYER-1,2,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-12,Inshaa,BH-38,5454.43,1011.996
87,Monday,2025-12-08,36400,36,Benyan,DPL,2025-12-07,,,66.31,Fill,G0-1,BH-14,,LAYER-5,11,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-12,Al Amal,BH-18,4882.94,618.323
88,Monday,2025-12-08,36401,36,Al Ikhlas Mohamed Abdelwahab,DPL,2025-12-07,,,46.79,Fill,G0-1,BH-12,,LAYER-5,11,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-12,Al Magd Contracting,BH-15,1649.90,474.467
89,Monday,2025-12-08,36402,36,Mecca Contracting,DPL,2025-12-07,,,45.68,Fill,G0-1,BH-44,,LAYER-4,3,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,South Sector,2025-12-12,Port Said West,BH-12,2355.47,902.862
90,Friday,2025-12-05,36300,36,Al Masriya for Construction & Development,DPL,2025-12-04,,,51.08,Fill,G0-1,BH-17,,LAYER-1,6,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-13,Al Anoud Al Arabia,BH-42,2016.75,0.000
91,Friday,2025-12-05,36302,36,Al Ikhlas Mohamed Abdelwahab,DPL,2025-12-04,,,48.95,Fill,G0-1,BH-12,,LAYER-4,6,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-13,Al Qahira,BH-32,189.02,0.000
92,Friday,2025-12-05,36304,36,Mecca Contracting,DPL,2025-12-04,,,44.47,Fill,G0-1,BH-44,,LAYER-3,9,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,,,North Sector,2025-12-13,Mecca Contracting,BH-44,4243.45,797.231
