No,Day,Date( SUB),serial,Battalion,Company Name,Test Type,Date ( test),Classification,#200,AVERAGE VALUE,Sampling Location,Zone,ELMENT,BUILDING,Station,Direction,layer ,Number of Tests,Performed Test ,Area(m2),sample status,Document Status,NUM. OF PAGES,Done BY,DURATION,Company ,Executed Quantity,Required Quantity
19,Sunday,06-09-26,90018,36, Sky Line ,DPL,06-09-26,,,53.89,Fill,C-A,RD-01,,6+450 : 6+470,R+L,LAYER-1,2,,933,APPROVED AS NOTED,DONE,2,EIDG,0,,,
20,Sunday,06-09-26,64901,36, Sky Line ,DPL,03-09-26,,,50.261,Fill,C-A,RD-01,,6+450 : 6+470,R+L,LAYER-1,2,,993,APPROVED AS NOTED,DONE,2,EIDG,3,,,
21,Sunday,06-09-26,90025,36, EL-Batal ,DPL,06-09-26,,,47.56,Fill,C-A,RD-01,,6+160 : 6+250,R+L,LAYER-3,8,,3948,APPROVED AS NOTED,DONE,2,EIDG,0,,,
22,Sunday,06-09-26,64822,36, EL-Batal ,SOIL,04-09-26,A-2-4,15.00%,,Bottom of excavation,C-A,RD-01,,6+250 : 6+320,R+L,,1,Sieve analysis,3155,APPROVED AS NOTED,DONE,2,EIDG,2,,,
23,Sunday,06-09-26,64815,36, EL-Batal ,DPL,05-09-26,,,47.52,Fill,C-A,RD-01,,7+120 : 7+200,R+L,LAYER-10,9,,4723,APPROVED AS NOTED,DONE,2,EIDG,1,,,
24,Sunday,06-09-26,64878,36, Orascom ,DPL,03-09-26,,,48.87,Fill,C-A,RD-01,,7+380 : 7+500,R+L,LAYER-7,9,,4331,APPROVED AS NOTED,DONE,2,EIDG,3,,,
25,Monday,07-09-26,90120,36, Orascom ,DPL,07-09-26,,,52.56,Fill,C-A,RD-01,,7+380 : 7+500,R+L,LAYER-8,9,,4402,APPROVED AS NOTED,DONE,2,EIDG,0,,,
26,Sunday,06-09-26,64959,36, Orascom ,PLATE LOAD,02-09-26,,,,Fill,C-A,RD-01,,7+500 : 7+660,R+L,29.52,1,,,APPROVED AS NOTED,DONE,6,CEDC,4,,,
27,Sunday,06-09-26,64960,36, Orascom ,PLATE LOAD,02-09-26,,,,Fill,C-A,RD-01,,7+500 : 7+660,R+L,29.52,1,,,APPROVED AS NOTED,DONE,6,CEDC,4,,,
28,Sunday,06-09-26,64961,36, Orascom ,PLATE LOAD,02-09-26,,,,Fill,C-A,RD-01,,7+500 : 7+660,R+L,29.52,1,,,APPROVED AS NOTED,DONE,6,CEDC,4,,,
29,Monday,07-09-26,90121,36, Orascom ,DPL,07-09-26,,,47.71,Fill,C-A,RD-01,,7+500 : 7+660,R+L,LAYER-12,12,,6344,APPROVED AS NOTED,DONE,2,EIDG,0,,,
30,Monday,07-09-26,90104,36, Sky Line ,DPL,07-09-26,,,48.07,Fill,C-A,RD-01,,6+350 : 7+420,R+L,LAYER-1,8,,3335,APPROVED AS NOTED,DONE,2,EIDG,0,,,
31,Monday,07-09-26,90103,36, Benaa ,DPL,07-09-26,,,41.42,Fill,C-A,RD-01,,6+540 : 6+580,R+L,LAYER-8,2,,997,APPROVED AS NOTED,DONE,2,EIDG,0,,,
32,Monday,07-09-26,64843,36, Benaa ,DPL,04-09-26,,,48.87,Fill,C-A,RD-01,,6+540 : 6+580,R+L,LAYER-7,2,,977,APPROVED AS NOTED,DONE,2,EIDG,3,,,
33,Sunday,06-09-26,64811,36, Benaa ,DPL,05-09-26,,,49.99,Fill,C-A,RD-01,,6+540 : 6+580,R+L,LAYER-7,2,,1022,APPROVED AS NOTED,DONE,2,EIDG,1,,,
34,Sunday,06-09-26,64832,36, Port Said West ,DPL,04-09-26,,,46.35,Fill,C-A,RD-01,,6+890 : 6+935,R+L,LAYER-13,5,,2407,APPROVED AS NOTED,DONE,2,EIDG,2,,,
35,Sunday,06-09-26,90041,36, Port Said West ,DPL,06-09-26,,,50.095,Fill,C-A,RD-01,,6+890 : 6+935,R+L,LAYER-14,5,,2485,APPROVED AS NOTED,DONE,2,EIDG,0,,,
36,Monday,07-09-26,90106,36, Port Said West ,DPL,07-09-26,,,47.019,Fill,C-A,RD-01,,6+890 : 6+935,R+L,LAYER-15,5,,2485,APPROVED AS NOTED,DONE,2,EIDG,0,,,
37,Monday,07-09-26,90106,36, Port Said West ,DPL,07-09-26,,,47.019,Fill,C-A,RD-01,,6+890 : 6+935,R+L,LAYER-15,5,,2531,APPROVED AS NOTED,DONE,2,EIDG,0,,,
38,Sunday,06-09-26,64821,36, EL-Nada EL-Saadany ,DPL,05-09-26,,,48.89,Fill,C-A,RD-01,,6+660 : 6+720,R+L,LAYER-6,6,,2825,APPROVED AS NOTED,DONE,2,EIDG,1,,,
39,Monday,07-09-26,90105,36, EL-Nada EL-Saadany ,DPL,07-09-26,,,45.72,Fill,C-A,RD-01,,6+660 : 6+720,R+L,LAYER-6,5,,2667,APPROVED AS NOTED,DONE,2,EIDG,0,,,
40,Sunday,06-09-26,64977,36, Al Magd Contracting ,PLATE LOAD,03-09-26,,,,Fill,C-A,RD-01,,6+770 : 6+880,R+L,43.52,1,,5872.84,APPROVED AS NOTED,DONE,3,BONYAN MISR,3,,,
41,Sunday,06-09-26,64974,36, Al Magd Contracting ,PLATE LOAD,03-09-26,,,,Fill,C-A,RD-01,,6+770 : 6+880,R+L,43.52,1,,5872.84,APPROVED AS NOTED,DONE,3,BONYAN MISR,3,,,
42,Sunday,06-09-26,90051,36, Al Magd Contracting ,DPL,06-09-26,,,47.04,Fill,C-A,RD-01,,6+770 : 6+880,R+L,LAYER-11,6,,2872,APPROVED AS NOTED,DONE,2,EIDG,0,,,
43,Sunday,06-09-26,64900,36, Al Magd Contracting ,DPL,03-09-26,,,46.74,Fill,C-A,RD-01,,6+770 : 6+880,R+L,LAYER-10,11,,2872,APPROVED AS NOTED,DONE,2,EIDG,3,,,
44,Monday,07-09-26,90131,36, Al Magd Contracting ,DPL,06-09-26,,,45.98,Fill,C-A,RD-01,,6+770 : 6+880,R+L,LAYER-11,6,,2872,APPROVED AS NOTED,DONE,2,EIDG,1,,,
45,Monday,07-09-26,90108,36, Al Magd Contracting ,DPL,07-09-26,,,50.078,Fill,C-A,RD-01,,6+770 : 6+880,R+L,LAYER-12,6,,2980,APPROVED AS NOTED,DONE,2,EIDG,0,,,
46,Monday,07-09-26,90111,36, Abnaa Mohamed Badawy ,DPL,06-09-26,,,53.51,Fill,C-A,RD-01,,7-290 : 7+300,R+L,LAYER-2,2,,377,APPROVED AS NOTED,DONE,2,EIDG,1,,,
47,Monday,07-09-26,90060,36, Orascom ,DPL,06-09-26,,,47.25,Fill,C-A,RD-01,,7+660 : 7+740,R+L,LAYER-10,7,,3621,APPROVED AS NOTED,DONE,2,EIDG,1,,,
48,Monday,07-09-26,90109,36, Orascom ,DPL,07-09-26,,,50.9,Fill,C-A,RD-01,,7+660 : 7+740,R+L,LAYER-11,7,,3121,APPROVED AS NOTED,DONE,2,EIDG,0,,,
49,Monday,07-09-26,90040,36, Port Said West ,DPL,06-09-26,,,46.54,Fill,C-A,RD-01,,6+935 : 6+960,R+L,LAYER-14,3,,1271,APPROVED AS NOTED,DONE,2,EIDG,1,,,
50,Monday,07-09-26,90107,36, Port Said West ,DPL,07-09-26,,,50.73,Fill,C-A,RD-01,,6+935 : 6+960,R+L,LAYER-15,3,,1261,APPROVED AS NOTED,DONE,2,EIDG,0,,,
51,Monday,07-09-26,64807,36, Abnaa Mohamed Badawy ,DPL,05-09-26,,,51.209,Fill,C-A,RD-01,,7+300 : 7+360,R+L,LAYER-3,5,,2481,APPROVED AS NOTED,DONE,2,EIDG,2,,,
52,Sunday,06-09-26,90021,36, Abnaa Mohamed Badawy ,DPL,06-09-26,,,48.026,Fill,C-A,RD-01,,7+300 : 7+360,R+L,LAYER-3,5,,2481,APPROVED AS NOTED,DONE,2,EIDG,0,,,
53,Monday,07-09-26,90110,36, Abnaa Mohamed Badawy ,DPL,07-09-26,,,46.55,Fill,C-A,RD-01,,7+300 : 7+360,R+L,LAYER-4,5,,2531,APPROVED AS NOTED,DONE,2,EIDG,0,,,
54,Sunday,06-09-26,64913,36, Saad Sheita ,DPL,03-09-26,,,45.35,Fill,C-A,RD-01,,7+250 : 7+290,R+L,LAYER-7,4,,1927,APPROVED AS NOTED,DONE,2,EIDG,3,,,
55,Monday,07-09-26,90117,36, Saad Sheita ,DPL,07-09-26,,,50.42,Fill,C-A,RD-01,,7+250 : 7+290,R+L,LAYER-8,4,,1882,APPROVED AS NOTED,DONE,2,EIDG,0,,,
56,Sunday,06-09-26,64985,36, Benaa ,PLATE LOAD,02-09-26,,,,Fill,C-A,RD-01,,6+580 : 6+600,R+L,47.41,1,,844.18,APPROVED AS NOTED,DONE,3,BONYAN MISR,4,,,
57,Sunday,06-09-26,90038,36, Benaa ,DPL,06-09-26,,,41.42,Fill,C-A,RD-01,,6+580 : 6+600,R+L,LAYER-6,2,,829,APPROVED AS NOTED,DONE,2,EIDG,0,,,
58,Wednesday,02-09-26,64794,36, Orascom ,PLATE LOAD,31-08-26,,,,Fill,C-A,RD-01,,7+740 : 7+800,R+L,28.5,1,,,APPROVED AS NOTED,DONE,6,CEDC,2,,,
59,Wednesday,02-09-26,64746,36, Orascom ,DPL,02-09-26,,,48.47,Fill,C-A,RD-01,,7+740 : 7+800,R+L,LAYER-9,6,,2748,APPROVED AS NOTED,DONE,2,EIDG,0,,,
60,Wednesday,02-09-26,64772,36, Orascom ,DPL,01-09-26,,,49.02,Fill,C-A,RD-01,,7+500 : 7+660,R+L,LAYER-11,11,,6077,APPROVED AS NOTED,DONE,2,EIDG,1,,,
61,Wednesday,02-09-26,64804,36, Orascom ,PLATE LOAD,31-08-26,,,,Fill,C-A,RD-01,,7+740 : 7+800,R+L,28.52,1,,2700.1,APPROVED AS NOTED,DONE,3,BONYAN MISR,2,,,
62,Wednesday,02-09-26,64801,36, EL-Nada EL-Saadany ,PLATE LOAD,01-09-26,,,,Fill,C-A,RD-01,,6+720 : 6+770,R+L,44.02,1,,,APPROVED AS NOTED,DONE,5,CEL,1,,,
63,Wednesday,02-09-26,64783,36, EL-Nada EL-Saadany ,DPL,02-09-26,,,48.071,Fill,C-A,RD-01,,6+600 : 6+690,R+L,LAYER-5,8,,4078,APPROVED AS NOTED,DONE,2,EIDG,0,,,
64,Wednesday,02-09-26,64751,36, Al Magd Contracting ,DPL,02-09-26,,,49.68,Fill,C-A,RD-01,,6+790 : 7+880,R+L,LAYER-9,10,,4854,APPROVED AS NOTED,DONE,2,EIDG,0,,,
65,Wednesday,02-09-26,64752,36, Al Magd Contracting ,DPL,01-09-26,,,50.29,Fill,C-A,RD-01,,6+770 : 6+790,R+L,LAYER-9,2,,854,APPROVED AS NOTED,DONE,2,EIDG,1,,,
66,Wednesday,02-09-26,64767,36, EL-Batal ,DPL,02-09-26,,,52.85,Fill,C-A,RD-01,,5+570 : 5+900,R+L,LAYER-3,3,,1127,APPROVED AS NOTED,DONE,2,EIDG,0,,,
67,Wednesday,02-09-26,64766,36, EL-Batal ,DPL,02-09-26,,,47.64,Fill,C-A,RD-01,,5+900 : 5+990,R+L,LAYER-4,7,,3341,APPROVED AS NOTED,DONE,2,EIDG,0,,,
68,Wednesday,02-09-26,64748,36, Benaa ,DPL,02-09-26,,,43.42,Fill,C-A,RD-01,,6+540 : 6+580,R+L,LAYER-6,4,,1979,APPROVED AS NOTED,DONE,2,EIDG,0,,,
69,Wednesday,02-09-26,64762,36, Benaa ,DPL,02-09-26,,,47.61,Fill,C-A,RD-01,,6+490 : 6+540,R+L,LAYER-6,5,,2336,APPROVED AS NOTED,DONE,2,EIDG,0,,,
70,Wednesday,02-09-26,64747,36, Benaa ,DPL,02-09-26,,,51.306,Fill,C-A,RD-01,,6+580 : 6+600,R+L,LAYER-5,2,,844,APPROVED AS NOTED,DONE,2,EIDG,0,,,
71,Wednesday,02-09-26,64744,36, Saad Sheita ,DPL,02-09-26,,,47.35,Fill,C-A,RD-01,,7+250 : 7+290,R+L,LAYER-7,4,,1927,APPROVED AS NOTED,DONE,2,EIDG,0,,,
72,Wednesday,02-09-26,64759,36, Port Said West ,DPL,02-09-26,,,50.04,Fill,C-A,RD-01,,6+935 : 6+964,R+L,LAYER-12,3,,1367,APPROVED AS NOTED,DONE,2,EIDG,0,,,
73,Wednesday,02-09-26,64758,36, Port Said West ,DPL,02-09-26,,,46.307,Fill,C-A,RD-01,,6+888 : 6+935,R+L,LAYER-12,5,,2364,APPROVED AS NOTED,DONE,2,EIDG,0,,,
74,Wednesday,02-09-26,64760,36, MTR for Import ,DPL,02-09-26,,,47.405,Fill,C-A,RD-01,,7+040 : 7+120,R+L,LAYER-9,10,,4612,APPROVED AS NOTED,DONE,2,EIDG,0,,,
75,Tuesday,01-09-26,64662,36, Saad Sheita ,DPL,01-09-26,,,44.94,Fill,C-A,RD-01,,7+200 : 7+250,R+L,LAYER-6,4,,1953,APPROVED AS NOTED,DONE,2,EIDG,0,,,
76,Tuesday,01-09-26,64682,36, Saad Sheita ,DPL,01-09-26,,,47.18,Fill,C-A,RD-01,,7+250 : 7+290,R+L,LAYER-6,4,,1953,APPROVED AS NOTED,DONE,2,EIDG,0,,,
77,Tuesday,01-09-26,64596,36, EL-Nada EL-Saadany ,DPL,30-08-26,,,50.11,Fill,C-A,RD-01,,6+690 : 6+720,R+L,LAYER-5,4,,1704,APPROVED AS NOTED,DONE,2,EIDG,2,,,
78,Tuesday,01-09-26,64704,36, EL-Nada EL-Saadany ,PLATE LOAD,31-08-26,,,,Fill,C-A,RD-01,,6+690 : 6+720,R+L,45.52,1,,,APPROVED AS NOTED,DONE,5,CEL,1,,,
79,Tuesday,01-09-26,64673,36, EL-Nada EL-Saadany ,DPL,01-09-26,,,41.99,Fill,C-A,RD-01,,6+600 : 6+620,R+L,LAYER-1,2,,791,APPROVED AS NOTED,DONE,2,EIDG,0,,,
80,Tuesday,01-09-26,64681,36, EL-Nada EL-Saadany ,DPL,01-09-26,,,47.93,Fill,C-A,RD-01,,6+620 : 6+690,R+L,LAYER-4,7,,3055,APPROVED AS NOTED,DONE,2,EIDG,0,,,
81,Tuesday,01-09-26,64732,36, EL-Nada EL-Saadany ,DPL,01-09-26,,,47.4,Fill,C-A,RD-01,,6+720 : 6+770,R+L,LAYER-5,5,,2464,APPROVED AS NOTED,DONE,2,EIDG,0,,,
82,Tuesday,01-09-26,64597,36, EL-Nada EL-Saadany ,DPL,30-08-26,,,50.56,Fill,C-A,RD-01,,6+720 : 6+770,R+L,LAYER-4,5,,2431,APPROVED AS NOTED,DONE,2,EIDG,2,,,
83,Tuesday,01-09-26,64599,36, Al Magd Contracting ,DPL,30-08-26,,,48.205,Fill,C-A,RD-01,,6+770 : 6+890,R+L,LAYER-8,11,,5570,APPROVED AS NOTED,DONE,2,EIDG,2,,,
84,Tuesday,01-09-26,64689,36, Benaa ,PLATE LOAD,30-08-26,,,,Fill,C-A,RD-01,,6+540 : 6+490,R+L,49.46,1,,2324,APPROVED AS NOTED,DONE,3,BONYAN MISR,2,,,
85,Tuesday,01-09-26,64591,36, Benaa ,DPL,30-08-26,,,48.77,Fill,C-A,RD-01,,6+540 : 6+580,R+L,LAYER-5,4,,1979,APPROVED AS NOTED,DONE,2,EIDG,2,,,
86,Tuesday,01-09-26,64717,36, Benaa ,PLATE LOAD,31-08-26,,,,Fill,C-A,RD-01,,6+540 : 6+580,R+L,49.46,1,,,APPROVED AS NOTED,DONE,5,CEL,1,,,
87,Tuesday,01-09-26,64690,36, Benaa ,PLATE LOAD,30-08-26,,,,Fill,C-A,RD-01,,6+540 : 6+580,R+L,46.46,1,,1979.105,REVISE,DONE,3,BONYAN MISR,2,,,
88,Tuesday,01-09-26,64630,36, Benaa ,DPL,30-08-26,,,48.04,Fill,C-A,RD-01,,6+490 : 6+540,R+L,LAYER-5,5,,2324,APPROVED AS NOTED,DONE,2,EIDG,2,,,
89,Tuesday,01-09-26,64593,36, Benaa ,DPL,30-08-26,,,51.53,Fill,C-A,RD-01,,6+580 : 6+600,R+L,LAYER-3,2,,892,APPROVED AS NOTED,DONE,2,EIDG,2,,,
90,Tuesday,01-09-26,64600,36, Port Said West ,DPL,30-08-26,,,46.49,Fill,C-A,RD-01,,6+888 : 6+935,R+L,LAYER-11,5,,2406,APPROVED AS NOTED,DONE,2,EIDG,2,,,
91,Tuesday,01-09-26,64602,36, Port Said West ,DPL,30-08-26,,,50.94,Fill,C-A,RD-01,,6+935 : 6+964,R+L,LAYER-11,3,,1382,APPROVED AS NOTED,DONE,2,EIDG,2,,,
92,Tuesday,01-09-26,64734,36, Orascom ,DPL,30-08-26,,,47.24,Fill,C-A,RD-01,,7+500 : 7+660,R+L,LAYER-10,7,,3556,APPROVED AS NOTED,DONE,2,EIDG,2,,,
93,Tuesday,01-09-26,64642,36, Orascom ,DPL,30-08-26,,,46.084,Fill,C-A,RD-01,,7+740 : 7+800,R+L,LAYER-8,6,,2700,APPROVED AS NOTED,DONE,2,EIDG,2,,,
94,Tuesday,01-09-26,64735,36, Orascom ,DPL,30-08-26,,,50.66,Fill,C-A,RD-01,,7+660 : 7+740,R+L,LAYER-9,12,,6014,APPROVED AS NOTED,DONE,2,EIDG,2,,,
95,Tuesday,01-09-26,64720,36, Orascom ,PLATE LOAD,31-08-26,,,,Fill,C-A,RD-01,,7+740 : 7+800,R+L,28.52,1,,2700.13,REVISE,DONE,3,BONYAN MISR,1,,,
96,Tuesday,01-09-26,64693,36, Orascom ,PLATE LOAD,31-08-26,,,,Fill,C-A,RD-01,,7+740 : 7+800,R+L,28.52,1,,2700.13,REVISE,DONE,3,BONYAN MISR,1,,,
97,Tuesday,01-09-26,64646,36, Orascom ,DPL,01-09-26,,,50.072,Fill,C-A,RD-01,,7+380 : 7+500,R+L,LAYER-6,8,,3880,APPROVED AS NOTED,DONE,2,EIDG,0,,,
98,Tuesday,01-09-26,64624,36, Orascom ,DPL,29-08-26,,,46.57,Fill,C-A,RD-01,,7+300 : 7+360 ,R+L,LAYER-2,5,,2307,APPROVED AS NOTED,DONE,2,EIDG,3,,,
99,Tuesday,01-09-26,64595,36, Abnaa Mohamed Badawy ,DPL,30-08-26,,,49.48,Fill,C-A,RD-01,,7+365 : 7+380,R+L,LAYER-4,2,,680,APPROVED AS NOTED,DONE,2,EIDG,2,,,
100,Tuesday,01-09-26,64649,36, EL-Batal ,DPL,01-09-26,,,47.51,Fill,C-A,RD-01,,6+160 : 6+250,R+L,LAYER-2,7,,3653,APPROVED AS NOTED,DONE,2,EIDG,0,,,
101,Tuesday,01-09-26,64659,36, MTR for Import ,DPL,01-09-26,,,51.26,Fill,C-A,RD-01,,7+120 : 7+200,R+L,LAYER-9,9,,4688,APPROVED AS NOTED,DONE,2,EIDG,0,,,
102,Tuesday,01-09-26,64610,36, MTR for Import ,DPL,30-08-26,,,51.64,Fill,C-A,RD-01,,7+120 : 7+200,R+L,LAYER-8,9,,5164,APPROVED AS NOTED,DONE,2,EIDG,2,,,
103,Tuesday,01-09-26,64635,36, MTR for Import ,DPL,29-08-26,,,48.504,Fill,C-A,RD-01,,7+120 : 7+200,R+L,LAYER-8,9,,4652,APPROVED AS NOTED,DONE,2,EIDG,3,,,
104,Tuesday,01-09-26,64515,36, MTR for Import ,DPL,29-08-26,,,49.26,Fill,C-A,RD-01,,6+970 : 7+040,R+L,LAYER-7,8,,3862,APPROVED AS NOTED,DONE,2,EIDG,3,,,
105,Tuesday,01-09-26,64675,36, MTR for Import ,DPL,01-09-26,,,47.811,Fill,C-A,RD-01,,6+970 : 7+040,R+L,LAYER-8,8,,3892,APPROVED AS NOTED,DONE,2,EIDG,0,,,
106,Sunday,30-08-26,64518,36, Port Said West ,DPL,27-08-26,,,46.89,Fill,C-A,RD-01,,6+935 : 6+964,R+L,LAYER-10,3,,1397,APPROVED AS NOTED,DONE,2,EIDG,3,,,
107,Saturday,29-08-26,64356,36, Port Said West ,DPL,25-08-26,,,50.089,Fill,C-A,RD-01,,6+894 : 6+935,R+L,LAYER-7,4,,2044,APPROVED AS NOTED,DONE,2,EIDG,4,,,
108,Saturday,29-08-26,64466,36, Saad Sheita ,PLATE LOAD,26-08-26,,,,Fill,C-A,RD-01,,7+250 : 7+290,R+L,33.2,1,,,APPROVED AS NOTED,DONE,5,CEL,3,,,
109,Saturday,29-08-26,64467,36, Saad Sheita ,PLATE LOAD,26-08-26,,,,Fill,C-A,RD-01,,7+250 : 7+290,R+L,33.2,1,,,APPROVED AS NOTED,DONE,5,CEL,3,,,
110,Sunday,30-08-26,64547,36, Saad Sheita ,DPL,27-08-26,,,51.305,Fill,C-A,RD-01,,7+200 : 7+250,R+L,LAYER-5,5,,2545,APPROVED AS NOTED,DONE,2,EIDG,3,,,
111,Wednesday,26-08-26,64215,36, Saad Sheita ,DPL,23-08-26,,,49.29,Fill,C-A,RD-01,,7+220 : 7+250,R+L,LAYER-4,3,,1562,APPROVED AS NOTED,DONE,2,EIDG,3,,,
112,Monday,24-08-26,64056,36, Saad Sheita ,DPL,19-08-26,,,49.605,Fill,C-A,RD-01,,7+220 : 7+250,R+L,LAYER-3,4,,1562,APPROVED AS NOTED,DONE,2,EIDG,5,,,
113,Saturday,15-08-26,63574,36, Saad Sheita ,DPL,12-08-26,,,53.13,Fill,C-A,RD-01,,7+200 : 7+250,R+L,LAYER-1,4,,,APPROVED AS NOTED,DONE,2,EIDG,3,,,
114,Tuesday,18-08-26,63868,36, Saad Sheita ,DPL,18-08-26,,,47.23,Fill,C-A,RD-01,,7+220 : 7+250,R+L,LAYER-2,3,,1467,APPROVED AS NOTED,DONE,2,EIDG,0,,,
115,Wednesday,19-08-26,63949,36, Saad Sheita ,DPL,18-08-26,,,49.96,Fill,C-A,RD-01,,7+220 : 7+250,R+L,LAYER-2,3,,1467,APPROVED AS NOTED,DONE,2,EIDG,1,,,
116,Saturday,29-08-26,64474,36, Saad Sheita ,PLATE LOAD,28-08-26,,,,Fill,C-A,RD-01,,7+200 : 7+250,R+L,33.52,1,,,APPROVED AS NOTED,DONE,5,CEL,1,,,
117,Wednesday,26-08-26,64214,36, Saad Sheita ,DPL,23-08-26,,,47.17,Fill,C-A,RD-01,,7+200 : 7+220,R+L,LAYER-4,2,,980,APPROVED AS NOTED,DONE,2,EIDG,3,,,
118,Monday,24-08-26,63979,36, Saad Sheita ,DPL,20-08-26,,,51.39,Fill,C-A,RD-01,,7+200 : 7+220,R+L,LAYER-3,4,,,APPROVED AS NOTED,DONE,2,EIDG,4,,,
119,Sunday,16-08-26,63724,36, Saad Sheita ,DPL,15-08-26,,,47.818,Fill,C-A,RD-01,,7+200 : 7+220,R+L,LAYER-2,4,,,APPROVED AS NOTED,DONE,2,EIDG,1,,,
120,Saturday,29-08-26,64361,36, Saad Sheita ,DPL,25-08-26,,,50.93,Fill,C-A,RD-01,,7+250 : 7+290,R+L,LAYER-5,4,,1930,APPROVED AS NOTED,DONE,2,EIDG,4,,,
